Version,Released,Security Support,Release
4.4,10 months ago (30 Jul 2020),Yes,4.4.5
4.2,1 year and 9 months ago (31 Aug 2019),Yes,4.2.13
4.0,2 years and 11 months ago (30 Jun 2018),Ends            in 7 months and 3 weeks (31 Jan 2022),4.0.24
3.6,3 years and 6 months ago (30 Nov 2017),Ended            1 month and 1 week ago (30 Apr 2021),NA
3.4,4 years and 6 months ago (30 Nov 2016),Ended            1 year and 4 months ago (31 Jan 2020),NA
3.2,5 years ago (31 Dec 2015),Ended            2 years and 10 months ago (31 Jul 2018),NA
3.0,6 years ago (31 Mar 2015),Ended            3 years ago (28 Feb 2018),NA
2.6,7 years ago (30 Apr 2014),Ended            4 years and 7 months ago (31 Oct 2016),NA
2.4,5 years ago (31 Mar 2016),Ended            8 years ago (31 Mar 2013),NA
2.2,8 years ago (31 Aug 2012),Ended            7 years ago (28 Feb 2014),NA
2.0,9 years ago (30 Sep 2011),Ended            8 years ago (31 Mar 2013),NA
1.8,10 years ago (31 Mar 2011),Ended            8 years ago (30 Sep 2012),NA
1.6,10 years ago (31 Aug 2010),Ended            9 years ago (28 Feb 2012),NA
1.4,11 years ago (31 Mar 2010),Ended            8 years ago (30 Sep 2012),NA
1.2,11 years ago (31 Dec 2009),Ended            9 years ago (30 Jun 2011),NA
1.0,12 years ago (28 Feb 2009),Ended            10 years ago (31 Aug 2010),NA
