Version,Released,Active Support,Security Support
"Windows 10, version 21H1 (E)(W)",3 weeks and 2 days ago (18 May 2021),Ends            in 1 year and 6 months (13 Dec 2022),Ends            in 1 year and 6 months (13 Dec 2022)
"Windows 10, version 20H2 (W)",7 months and 3 weeks ago (20 Oct 2020),Ends            in 11 months (10 May 2022),Ends            in 11 months (10 May 2022)
"Windows 10, version 20H2 (E)",7 months and 3 weeks ago (20 Oct 2020),Ends            in 1 year and 11 months (09 May 2023),Ends            in 1 year and 11 months (09 May 2023)
"Windows 10, version 2004 (E)(W)",1 year ago (27 May 2020),Ends            in 6 months (14 Dec 2021),Ends            in 6 months (14 Dec 2021)
"Windows 10, version 1909 (W)",1 year and 7 months ago (12 Nov 2019),Ended            4 weeks ago (11 May 2021),Ended            4 weeks ago (11 May 2021)
"Windows 10, version 1909 (E)",1 year and 7 months ago (12 Nov 2019),Ends            in 11 months (10 May 2022),Ends            in 11 months (10 May 2022)
"Windows 10, version 1903 (E)(W)",1 year and 9 months ago (29 Aug 2019),Ended            6 months ago (08 Dec 2020),Ended            6 months ago (08 Dec 2020)
"Windows 10, version 1809 (W)",2 years and 7 months ago (13 Nov 2018),Ended            7 months ago (10 Nov 2020),Ended            7 months ago (10 Nov 2020)
"Windows 10, version 1809 (E)",2 years and 7 months ago (13 Nov 2018),Ended            4 weeks ago (11 May 2021),Ended            4 weeks ago (11 May 2021)
"Windows 10, version 1803 (W)",3 years ago (30 Apr 2018),Ended            1 year and 7 months ago (12 Nov 2019),Ended            1 year ago (11 May 2020)
"Windows 10, version 1803 (E)",3 years ago (30 Apr 2018),Ended            1 year ago (11 May 2020),Ended            4 weeks ago (11 May 2021)
Windows 8.1,7 years ago (13 Nov 2013),Ended            3 years and 5 months ago (09 Jan 2018),Ends            in 1 year and 7 months (10 Jan 2023)
Windows 7 SP1,10 years ago (22 Feb 2011),Ended            6 years ago (13 Jan 2015),Ended            1 year and 4 months ago (14 Jan 2020)
